,0,1,2,3,4,5,6,7,8,9,10,11
320,CHS_5,GSP_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,CAE_12,,,,
321,ROA_8,CHO_9,RIC_10,CHO_11,,,,,,,,
322,RIC_10,CHO_11,ROA_12,RIC_13,,,,,,,,
323,CHO_8,RIC_9,ROA_10,RIC_11,,,,,,,,
324,ROA_3,RIC_4,CHO_5,,,,,,,,,
325,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,,,,,,
326,ROA_1,GSP_2,CHS_3,CAE_4,CHS_5,CAE_6,CHS_7,,,,,
327,ROA_3,RIC_4,ROA_5,RIC_6,ROA_7,RIC_8,ROA_9,RIC_10,ROA_11,CHO_12,,
328,GSP_7,CHS_8,,,,,,,,,,
329,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,CAE_9,,,,,,
330,CAE_7,MYR_8,CAE_9,CHS_10,CAE_11,CHS_12,CAE_13,,,,,
331,RIC_9,ROA_10,,,,,,,,,,
332,MYR_3,RIC_4,CHO_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,,,
333,CHS_10,CAE_11,CHS_12,,,,,,,,,
334,RIC_4,ROA_5,RIC_6,ROA_7,RIC_8,ROA_9,RIC_10,ROA_11,,,,
335,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,,,,,,,
336,CHS_4,CAE_5,CHS_6,,,,,,,,,
337,CAE_3,CHS_4,CAE_5,CHS_6,,,,,,,,
338,CHS_4,CAE_5,,,,,,,,,,
339,CHS_5,CAE_6,CHS_7,,,,,,,,,
340,RIC_2,CHO_3,ROA_4,RIC_5,ROA_6,RIC_7,,,,,,
341,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,,,,,,,
342,CHS_10,CAE_11,CHS_12,,,,,,,,,
343,CHS_6,GSP_7,CHS_8,,,,,,,,,
344,ROA_5,RIC_6,,,,,,,,,,
345,RIC_9,ROA_10,RIC_11,ROA_12,RIC_13,,,,,,,
